State,City,Zone,Category,Budget,Age Group,Ideal Travel Months,Gender,Destination
Maharashtra,Nashik,West,Winery,Medium,18-60,January-April,Both,Sula Vineyards
Maharashtra,Nashik,West,Lake,Low,18-60,May-August,Both,Gangapur Dam
Maharashtra,Aurangabad,West,Historical,Medium,18-60,September-December,Both,Ajanta Caves
Maharashtra,Aurangabad,West,Monument,Medium,18-60,January-April,Both,Ellora Caves
Maharashtra,Aurangabad,West,Historical,Medium,18-60,September-December,Both,Bibi Ka Maqbara
Maharashtra,Aurangabad,West,Religious,Medium,60-100,May-August,Both,Grishneshwar Temple
Maharashtra,Aurangabad,West,Fort,Medium,18-60,January-April,Both,Daulatabad Fort
Maharashtra,Nagpur,west,Lake,Low,18-60,January-April,Both,Futala Lake
Maharashtra,Nagpur,west,Zoo,Low,Teenagers,May-August,Both,Maharajbagh Zoo
Maharashtra,Nagpur,west,National Park,Medium,18-60,September-December,Both,Pench National Park
Maharashtra,Nagpur,west,Religious,Medium,60-100,May-August,Both,Deekshabhoomi
Maharashtra,Nagpur,west,Food,Low,18-60,January-April,Both,Haldiram’s Factory
Karnataka,Bengaluru,South,Park,Low,18-60,January-April,Both,Lalbagh Botanical Garden
Karnataka,Bengaluru,South,Historical,Medium,18-60,September-December,Both,Bangalore Palace
Karnataka,Bengaluru,South,Museum,Low,18-60,January-April,Both,Visvesvaraya Industrial & Technological Museum
Karnataka,Bengaluru,South,Religious,Medium,60-100,May-August,Both,ISKCON Temple
Karnataka,Bengaluru,South,Shopping,Medium,18-60,September-December,Both,Commercial Street
Karnataka,Mysuru,South,Historical,Medium,18-60,September-December,Both,Mysore Palace
Karnataka,Mysuru,South,Zoo,Low,Teenagers,May-August,Both,Sri Chamarajendra Zoological Gardens
Karnataka,Mysuru,South,Religious,Medium,60-100,January-April,Both,Chamundeshwari Temple
Karnataka,Mysuru,South,Festival,Medium,18-60,September-December,Both,Mysuru Dasara
Karnataka,Mysuru,South,Lake,Low,18-60,May-August,Both,Karanji Lake
Karnataka,Hampi,South,Monument,Medium,18-60,January-April,Both,Virupaksha Temple
Karnataka,Hampi,South,Historical,Medium,18-60,September-December,Both,Vijaya Vittala Temple
Karnataka,Hampi,South,Nature,Medium,18-60,May-August,Both,Matanga Hill
Karnataka,Hampi,South,Religious,Medium,60-100,January-April,Both,Achyutaraya Temple
Karnataka,Hampi,South,Wildlife,Low,18-60,September-December,Both,Daroji Sloth Bear Sanctuary
Karnataka,Coorg,South,Nature,Medium,18-60,September-December,Both,Raja's Seat
Karnataka,Coorg,South,National Park,Medium,18-60,January-April,Both,Nagarhole National Park
Karnataka,Coorg,South,Waterfall,Low,18-60,May-August,Both,Abbey Falls
Karnataka,Coorg,South,Religious,Medium,60-100,September-December,Both,Omkareshwara Temple
Karnataka,Coorg,South,Coffee Plantation,Medium,18-60,January-April,Both,Coorg Coffee Estates
Karnataka,Gokarna,South,Beach,Medium,18-60,September-December,Both,Om Beach
Karnataka,Gokarna,South,Religious,Medium,60-100,January-April,Both,Mahabaleshwar Temple
Karnataka,Gokarna,South,Adventure,Medium,18-60,May-August,Both,Kudle Beach Trek
Karnataka,Gokarna,South,Nature,Low,18-60,January-April,Both,Half Moon Beach
Karnataka,Gokarna,South,Sunset Point,Low,18-60,September-December,Both,Paradise Beach
Goa,Panaji,West,Beach,Medium,18-60,October-March,Both,Miramar Beach
Goa,Panaji,West,Church,Low,18-60,January-April,Both,Our Lady of the Immaculate Conception Church
Goa,Panaji,West,Casino,High,21-60,September-December,Both,Deltin Royale Casino
Goa,Panaji,West,Museum,Low,18-60,May-August,Both,Goa State Museum
Goa,Panaji,West,Wildlife,Medium,18-60,September-December,Both,Dr. Salim Ali Bird Sanctuary
Goa,Calangute,West,Beach,Medium,18-60,October-March,Both,Calangute Beach
Goa,Calangute,West,Nightlife,High,21-40,January-April,Both,Tito’s Club
Goa,Calangute,West,Water Sports,Medium,18-40,September-December,Both,Baga Beach
Goa,Calangute,West,Market,Low,18-60,May-August,Both,Saturday Night Market
Goa,Calangute,West,Religious,Low,18-60,January-April,Both,St. Alex Church
Goa,Margao,West,Beach,Medium,18-60,October-March,Both,Colva Beach
Goa,Margao,West,Religious,Low,18-60,January-April,Both,Holy Spirit Church
Goa,Margao,West,Market,Low,18-60,September-December,Both,Margao Municipal Market
Goa,Margao,West,Historical,Medium,18-60,May-August,Both,Cabo de Rama Fort
Goa,Margao,West,Nature,Medium,18-60,September-December,Both,Bhagwan Mahavir Wildlife Sanctuary
Goa,Vasco da Gama,West,Beach,Medium,18-60,October-March,Both,Bogmalo Beach
Goa,Vasco da Gama,West,Religious,Low,18-60,January-April,Both,St. Andrew’s Church
Goa,Vasco da Gama,West,Museum,Low,18-60,September-December,Both,Naval Aviation Museum
Goa,Vasco da Gama,West,Park,Low,18-60,May-August,Both,Japanese Garden
Goa,Vasco da Gama,West,Shopping,Low,18-60,January-April,Both,New Market
Goa,Old Goa,West,Church,Low,18-60,October-March,Both,Basilica of Bom Jesus
Goa,Old Goa,West,Monument,Medium,18-60,January-April,Both,Se Cathedral
Goa,Old Goa,West,Museum,Low,18-60,September-December,Both,Archaeological Museum
Goa,Old Goa,West,Religious,Medium,60-100,May-August,Both,Church of St. Francis of Assisi
Goa,Old Goa,West,Festival,Medium,18-60,December,Both,Feast of St. Francis Xavier
Gujarat,Ahmedabad,West,Historical,Medium,18-60,September-December,Both,Sabarmati Ashram
Gujarat,Ahmedabad,West,Lake,Low,18-60,January-April,Both,Kankaria Lake
Gujarat,Ahmedabad,West,Monument,Medium,18-60,September-December,Both,Jama Masjid
Gujarat,Ahmedabad,West,Museum,Low,18-60,January-April,Both,Calico Museum of Textiles
Gujarat,Ahmedabad,West,Festival,Medium,All Ages,January,Both,Uttarayan (Kite Festival)
Gujarat,Vadodara,West,Historical,Medium,18-60,September-December,Both,Laxmi Vilas Palace
Gujarat,Vadodara,West,Museum,Low,18-60,January-April,Both,Maharaja Fateh Singh Museum
Gujarat,Vadodara,West,Religious,Medium,60-100,May-August,Both,Kirti Mandir
Gujarat,Vadodara,West,Park,Low,18-60,September-December,Both,Sayaji Garden
Gujarat,Vadodara,West,Shopping,Low,18-60,January-April,Both,Mandvi Gate Market
Gujarat,Surat,West,Beach,Medium,18-60,September-December,Both,Dumas Beach
Gujarat,Surat,West,Food,Low,18-60,January-April,Both,Surat Street Food
Gujarat,Surat,West,Religious,Medium,60-100,May-August,Both,Ambika Niketan Temple
Gujarat,Surat,West,Zoo,Low,Teenagers,September-December,Both,Sarthana Nature Park
Gujarat,Surat,West,Shopping,Medium,18-60,January-April,Both,Textile Market
Gujarat,Dwarka,West,Religious,Medium,60-100,May-August,Both,Dwarkadhish Temple
Gujarat,Dwarka,West,Beach,Medium,18-60,September-December,Both,Dwarka Beach
Gujarat,Dwarka,West,Monument,Medium,18-60,January-April,Both,Rukmini Devi Temple
Gujarat,Dwarka,West,Festival,Medium,18-60,August,Both,Janmashtami Festival
Gujarat,Dwarka,West,Nature,Low,18-60,January-April,Both,Gopi Talav
Gujarat,Gir,West,Wildlife,Medium,18-60,September-December,Both,Gir National Park
Gujarat,Gir,West,Nature,Medium,18-60,January-April,Both,Devalia Safari Park
Gujarat,Gir,West,Lake,Low,18-60,May-August,Both,Kamleshwar Dam
Gujarat,Gir,West,Adventure,Medium,18-60,September-December,Both,Jeep Safari in Gir
Gujarat,Gir,West,Resort,High,18-60,January-April,Both,Luxury Jungle Resorts
Gujarat,Kutch,West,Desert,Medium,18-60,September-December,Both,Rann of Kutch
Gujarat,Kutch,West,Festival,High,18-60,December-February,Both,Rann Utsav
Gujarat,Kutch,West,Wildlife,Medium,18-60,January-April,Both,Kutch Great Indian Bustard Sanctuary
Gujarat,Kutch,West,Historical,Medium,18-60,September-December,Both,Bhuj Fort
Gujarat,Kutch,West,Handicrafts,Low,18-60,January-April,Both,Kutchi Handicraft Markets
Punjab,Amritsar,North,Religious,Medium,60-100,September-December,Both,Golden Temple
Punjab,Amritsar,North,Historical,Medium,18-60,January-April,Both,Jallianwala Bagh
Punjab,Amritsar,North,Border Ceremony,Medium,18-60,September-December,Both,Wagah Border
Punjab,Amritsar,North,Museum,Low,18-60,May-August,Both,Partition Museum
Punjab,Amritsar,North,Food,Low,18-60,January-April,Both,Amritsari Kulcha at Bharawan Da Dhaba
Punjab,Ludhiana,North,Park,Low,18-60,January-April,Both,Rakh Bagh
Punjab,Ludhiana,North,Historical,Medium,18-60,September-December,Both,Lodhi Fort
Punjab,Ludhiana,North,Museum,Medium,18-60,May-August,Both,Punjab Agricultural University Museum
Punjab,Ludhiana,North,Religious,Medium,60-100,January-April,Both,Gurudwara Nanaksar Jagraon
Punjab,Ludhiana,North,Zoo,Low,Teenagers,May-August,Both,Tiger Safari Zoo
Punjab,Patiala,North,Historical,Medium,18-60,January-April,Both,Qila Mubarak
Punjab,Patiala,North,Museum,Medium,18-60,September-December,Both,Sheesh Mahal
Punjab,Patiala,North,Garden,Low,18-60,May-August,Both,Baradari Gardens
Punjab,Patiala,North,Religious,Medium,60-100,January-April,Both,Gurudwara Dukh Niwaran Sahib
Punjab,Patiala,North,Shopping,Low,18-60,September-December,Both,Adalat Bazaar
Punjab,Jalandhar,North,Religious,Medium,60-100,January-April,Both,Devi Talab Mandir
Punjab,Jalandhar,North,Amusement Park,Medium,18-60,May-August,Both,Wonderland Theme Park
Punjab,Jalandhar,North,Historical,Medium,18-60,September-December,Both,Rangla Punjab Haveli
Punjab,Jalandhar,North,Zoo,Low,Teenagers,May-August,Both,Lion Safari Park
Punjab,Jalandhar,North,Shopping,Low,18-60,January-April,Both,Rainak Bazaar
Punjab,Bathinda,North,Historical,Medium,18-60,January-April,Both,Qila Mubarak
Punjab,Bathinda,North,Lake,Low,18-60,May-August,Both,Thermal Lake
Punjab,Bathinda,North,Religious,Medium,60-100,September-December,Both,Takht Sri Damdama Sahib
Punjab,Bathinda,North,Park,Low,18-60,January-April,Both,Rose Garden
Punjab,Bathinda,North,Wildlife,Medium,18-60,May-August,Both,Bir Talab Zoo
West Bengal,Kolkata,East,Historical,Medium,18-60,September-December,Both,Victoria Memorial
West Bengal,Kolkata,East,Religious,Medium,60-100,January-April,Both,Dakshineswar Kali Temple
West Bengal,Kolkata,East,Museum,Low,18-60,May-August,Both,Indian Museum
West Bengal,Kolkata,East,Park,Low,Teenagers,September-December,Both,Eco Park
West Bengal,Kolkata,East,Food,Low,18-60,January-April,Both,Park Street
West Bengal,Darjeeling,East,Nature,Medium,18-60,September-December,Both,Tiger Hill
West Bengal,Darjeeling,East,Railway,Medium,18-60,January-April,Both,Darjeeling Himalayan Railway
West Bengal,Darjeeling,East,Monastery,Low,18-60,May-August,Both,Ghoom Monastery
West Bengal,Darjeeling,East,Zoo,Medium,Teenagers,September-December,Both,Padmaja Naidu Himalayan Zoological Park
West Bengal,Darjeeling,East,Tea Garden,Medium,18-60,January-April,Both,Happy Valley Tea Estate
West Bengal,Sundarbans,East,Wildlife,Medium,18-60,September-December,Both,Sundarbans National Park
West Bengal,Sundarbans,East,Nature,Medium,18-60,January-April,Both,Sajnekhali Wildlife Sanctuary
West Bengal,Sundarbans,East,River,Low,18-60,May-August,Both,Matla River
West Bengal,Sundarbans,East,Bird Watching,Medium,18-60,September-December,Both,Netidhopani Watchtower
West Bengal,Sundarbans,East,Boat Safari,Medium,18-60,January-April,Both,Sundarbans Boat Safari
West Bengal,Digha,East,Sea Aquarium,Low,18-60,January-April,Both,Marine Aquarium & Research Centre
West Bengal,Digha,East,Park,Low,Teenagers,May-August,Both,Amarabati Park
West Bengal,Digha,East,Fishing,Medium,18-60,September-December,Both,Shankarpur Fishing Harbor
West Bengal,Digha,East,Temple,Low,60-100,January-April,Both,Chandaneswar Temple
West Bengal,Murshidabad,East,Historical,Medium,18-60,September-December,Both,Hazarduari Palace
West Bengal,Murshidabad,East,Religious,Medium,60-100,January-April,Both,Katra Mosque
West Bengal,Murshidabad,East,Museum,Low,18-60,May-August,Both,Nizamat Imambara
West Bengal,Murshidabad,East,Fort,Medium,18-60,September-December,Both,Kathgola Palace
West Bengal,Murshidabad,East,River,Low,18-60,January-April,Both,Bhagirathi River
Tamil Nadu,Chennai,South,Beach,Low,18-60,January-April,Both,Marina Beach
Tamil Nadu,Chennai,South,Religious,Medium,60-100,May-August,Both,Kapaleeshwarar Temple
Tamil Nadu,Chennai,South,Museum,Low,18-60,September-December,Both,Government Museum
Tamil Nadu,Chennai,South,Zoo,Low,Teenagers,May-August,Both,Arignar Anna Zoological Park
Tamil Nadu,Chennai,South,Historical,Medium,18-60,January-April,Both,Fort St. George
Tamil Nadu,Madurai,South,Religious,Medium,60-100,May-August,Both,Meenakshi Temple
Tamil Nadu,Madurai,South,Historical,Medium,18-60,September-December,Both,Thirumalai Nayakkar Mahal
Tamil Nadu,Madurai,South,Lake,Low,18-60,January-April,Both,Vagai Dam
Tamil Nadu,Madurai,South,Festival,Medium,18-60,January-April,Both,Chithirai Festival
Tamil Nadu,Madurai,South,Food,Low,18-60,May-August,Both,Madurai Jigarthanda
Tamil Nadu,Coimbatore,South,Nature,Medium,18-60,September-December,Both,Valparai
Tamil Nadu,Coimbatore,South,Religious,Medium,60-100,May-August,Both,Marudhamalai Temple
Tamil Nadu,Coimbatore,South,Zoo,Low,Teenagers,May-August,Both,VOC Park and Zoo
Tamil Nadu,Coimbatore,South,Shopping,Low,18-60,January-April,Both,Brookefields Mall
Tamil Nadu,Coimbatore,South,Monument,Medium,18-60,January-April,Both,Dhyanalinga Temple
Tamil Nadu,Ooty,South,Hill Station,Medium,18-60,September-December,Both,Ooty Lake
Tamil Nadu,Ooty,South,Garden,Low,18-60,January-April,Both,Government Botanical Gardens
Tamil Nadu,Ooty,South,Wildlife,Medium,18-60,May-August,Both,Mudumalai National Park
Tamil Nadu,Ooty,South,Lake,Low,18-60,January-April,Both,Pykara Lake
Tamil Nadu,Ooty,South,Toy Train,Medium,18-60,September-December,Both,Nilgiri Mountain Railway
Tamil Nadu,Kanyakumari,South,Monument,Medium,18-60,January-April,Both,Vivekananda Rock Memorial
Tamil Nadu,Kanyakumari,South,Beach,Low,18-60,May-August,Both,Kanyakumari Beach
Tamil Nadu,Kanyakumari,South,Religious,Medium,60-100,September-December,Both,Kumari Amman Temple
Tamil Nadu,Kanyakumari,South,Museum,Low,18-60,January-April,Both,Gandhi Memorial
Tamil Nadu,Kanyakumari,South,Nature,Medium,18-60,May-August,Both,Thirparappu Waterfalls
Chhattisgarh,Raipur,Central,Zoo,Low,Teenagers,May-August,Both,Nandan Van Jungle Safari
Chhattisgarh,Raipur,Central,Lake,Low,18-60,January-April,Both,Vivekananda Sarovar
Chhattisgarh,Raipur,Central,Historical,Medium,18-60,September-December,Both,Mahant Ghasidas Museum
Chhattisgarh,Raipur,Central,Religious,Medium,60-100,May-August,Both,Dudhadhari Math
Chhattisgarh,Raipur,Central,Park,Low,18-60,January-April,Both,Energy Park
Chhattisgarh,Bilaspur,Central,Nature,Medium,18-60,September-December,Both,Achanakmar Wildlife Sanctuary
Chhattisgarh,Bilaspur,Central,Historical,Medium,18-60,January-April,Both,Ratanpur Fort
Chhattisgarh,Bilaspur,Central,Religious,Medium,60-100,May-August,Both,Mahamaya Temple
Chhattisgarh,Bilaspur,Central,Lake,Low,18-60,January-April,Both,Khutaghat Dam
Chhattisgarh,Bilaspur,Central,Shopping,Low,18-60,May-August,Both,Bilaspur Market
Chhattisgarh,Jagdalpur,Central,Waterfall,Medium,18-60,September-December,Both,Chitrakote Falls
Chhattisgarh,Jagdalpur,Central,Caves,Medium,18-60,January-April,Both,Kailash and Kotumsar Caves
Chhattisgarh,Jagdalpur,Central,National Park,Medium,18-60,May-August,Both,Kanger Valley National Park
Chhattisgarh,Jagdalpur,Central,Religious,Medium,60-100,January-April,Both,Danteshwari Temple
Chhattisgarh,Jagdalpur,Central,Lake,Low,18-60,September-December,Both,Dalpat Sagar Lake
Chhattisgarh,Durg,Central,Fort,Medium,18-60,January-April,Both,Durg Fort
Chhattisgarh,Durg,Central,Religious,Medium,60-100,May-August,Both,Maitri Bagh Zoo & Temple
Chhattisgarh,Durg,Central,Historical,Medium,18-60,September-December,Both,Bhoramdeo Temple
Chhattisgarh,Durg,Central,Food,Low,18-60,January-April,Both,Durg Street Food Market
Chhattisgarh,Durg,Central,Park,Low,18-60,May-August,Both,Maitri Bagh Garden
Chhattisgarh,Ambikapur,Central,Waterfall,Medium,18-60,September-December,Both,Tiger Point Waterfall
Chhattisgarh,Ambikapur,Central,Nature,Medium,18-60,January-April,Both,Semarsot Wildlife Sanctuary
Chhattisgarh,Ambikapur,Central,Caves,Medium,18-60,May-August,Both,Jogimara Caves
Chhattisgarh,Ambikapur,Central,Religious,Medium,60-100,January-April,Both,Maheshpur Hanuman Temple
Chhattisgarh,Ambikapur,Central,Park,Low,18-60,September-December,Both,Mahamaya Park
Kerala,Kochi,South,Beach,Medium,18-60,September-December,Both,Cherai Beach
Kerala,Kochi,South,Historical,Medium,18-60,January-April,Both,Fort Kochi
Kerala,Kochi,South,Museum,Low,18-60,September-December,Both,Kerala Folklore Museum
Kerala,Kochi,South,Shopping,Low,18-60,May-August,Both,Lulu Mall
Kerala,Kochi,South,Religious,Medium,60-100,January-April,Both,Paradesi Synagogue
Kerala,Munnar,South,Hill Station,Medium,18-60,September-December,Both,Tea Gardens
Kerala,Munnar,South,Nature,Medium,18-60,January-April,Both,Eravikulam National Park
Kerala,Munnar,South,Waterfalls,Low,18-60,May-August,Both,Attukal Waterfalls
Kerala,Munnar,South,Lake,Medium,18-60,September-December,Both,Mattupetty Dam
Kerala,Munnar,South,Adventure,Medium,18-60,January-April,Both,Top Station Trek
Kerala,Alleppey,South,Backwaters,Medium,18-60,September-December,Both,Alleppey Houseboats
Kerala,Alleppey,South,Beach,Low,18-60,January-April,Both,Alleppey Beach
Kerala,Alleppey,South,Nature,Medium,18-60,May-August,Both,Marari Beach
Kerala,Alleppey,South,Religious,Medium,60-100,September-December,Both,Ambalapuzha Temple
Kerala,Alleppey,South,Festival,Medium,18-60,January-April,Both,Nehru Trophy Boat Race
Kerala,Wayanad,South,Nature,Medium,18-60,September-December,Both,Banasura Sagar Dam
Kerala,Wayanad,South,Wildlife,Medium,18-60,January-April,Both,Wayanad Wildlife Sanctuary
Kerala,Wayanad,South,Caves,Medium,18-60,May-August,Both,Edakkal Caves
Kerala,Wayanad,South,Adventure,Medium,18-60,September-December,Both,Chembra Peak Trek
Kerala,Wayanad,South,Waterfalls,Low,18-60,January-April,Both,Soochipara Falls
Kerala,Kovalam,South,Beach,Medium,18-60,September-December,Both,Kovalam Beach
Kerala,Kovalam,South,Adventure,Medium,18-60,January-April,Both,Surfing at Lighthouse Beach
Kerala,Kovalam,South,Wellness,Medium,18-60,May-August,Both,Ayurvedic Spas
Kerala,Kovalam,South,Religious,Medium,60-100,September-December,Both,Vizhinjam Rock Cut Temple
Kerala,Kovalam,South,Nature,Low,18-60,January-April,Both,Vellayani Lake
Odisha,Bhubaneswar,East,Religious,Medium,18-60,September-December,Both,Lingaraj Temple
Odisha,Bhubaneswar,East,Zoo,Low,Teenagers,January-April,Both,Nandankanan Zoological Park
Odisha,Bhubaneswar,East,Museum,Low,18-60,September-December,Both,Odisha State Museum
Odisha,Bhubaneswar,East,Caves,Medium,18-60,May-August,Both,Udayagiri and Khandagiri Caves
Odisha,Bhubaneswar,East,Lake,Low,18-60,January-April,Both,Bindu Sagar Lake
